sample_id,sample_stratum,date,trading_date,ticker,sector,text_raw,approved_label,error_type,review_reason,baseline_compound,baseline_class,finance_compound,finance_class,baseline_correct,finance_correct,classification_changed
SV018,negative,2023-05-29,2023-05-30,AMD,Tech,Nvidia to build Israeli supercomputer as AI demand soars,neutral,target_mismatch,"headline concerns Nvidia, not AMD",-0.128,negative,-0.128,negative,False,False,False
SV019,negative,2021-09-28,2021-09-28,NEE,Utilities,"Tariffs, seizures expose U.S. solar industry's vulnerability to imports",negative,correct,solar import vulnerability,-0.3612,negative,-0.3612,negative,True,True,False
SV020,negative,2022-08-05,2022-08-05,D,Utilities,"MDU Resources (MDU) Lags Q2 Earnings Estimates, Cuts 2022 EPS",neutral,target_mismatch,"headline concerns MDU, not ticker D",-0.5719,negative,-0.5719,negative,False,False,False
SV021,positive,2021-05-21,2021-05-21,T,Comm,"After Hours Most Active for May 21, 2021 : ITUB, T, AAPL, FOLD, VIPS, BAC, F, HBAN, NLSN, MSFT, HST, DBX",neutral,target_mismatch,activity list; no direction for T,0.4576,positive,0.4576,positive,False,False,False
SV022,positive,2022-01-21,2022-01-21,T,Comm,Why AT&T (T) is a Top Momentum Stock for the Long-Term,positive,correct,top long-term momentum stock,0.2023,positive,0.2023,positive,True,True,False
SV023,positive,2020-08-11,2020-08-11,SBUX,Consumer,Why Investing Is Like College Football,neutral,target_mismatch,generic analogy; no SBUX signal,0.3612,positive,0.3612,positive,False,False,False
SV024,positive,2022-03-16,2022-03-16,DIS,Consumer,Amazon (AMZN) Receives Approval From EU for MGM Acquisition,neutral,target_mismatch,Amazon-MGM deal; not Disney-specific,0.5859,positive,0.5859,positive,False,False,False
SV025,positive,2021-03-01,2021-03-01,CVX,Energy,A Compelling Oil Play With A 5% Dividend Yield,positive,correct,compelling play and dividend yield,0.5106,positive,0.5106,positive,True,True,False
SV026,positive,2023-11-23,2023-11-24,CVX,Energy,"COLUMN-Carbon capture and storage hopes are pipe dreams, for now - Russell",negative,context_error,pipe dreams signals failed expectations,0.6705,positive,0.6705,positive,False,False,False
SV027,positive,2022-01-28,2022-01-28,V,Financials,US STOCKS-Futures fall as rate hike worries eclipse strong Apple results,neutral,target_mismatch,broad futures move; not Visa-specific,0.128,positive,0.128,positive,False,False,False
SV028,positive,2023-06-29,2023-06-29,GS,Financials,Banks to be Conservative Despite Passing 2023 Stress Test,neutral,context_error,mixed: passed test but conservative,0.3252,positive,0.3252,positive,False,False,False
SV029,positive,2022-09-23,2022-09-23,MRK,Healthcare,Merck's (MRK) Stock Up on Januvia Patent Win Against Viatris,positive,correct,stock up after patent win,0.5859,positive,0.5859,positive,True,True,False
SV030,positive,2023-07-03,2023-07-03,ABBV,Healthcare,3 Magnificent Dividend Stocks to Buy Hand Over Fist in July,positive,correct,strong dividend-stock buy recommendation,0.7964,positive,0.8779,positive,True,True,False
SV031,positive,2020-01-15,2020-01-15,BA,Industrials,2 Top Transportation Stocks to Buy in January,positive,correct,top transportation stock to buy,0.2023,positive,0.5859,positive,True,True,False
SV032,positive,2023-07-06,2023-07-06,UPS,Industrials,Interesting UPS Put And Call Options For August 25th,neutral,ambiguous,options activity without direction,0.4019,positive,0.4019,positive,False,False,False
SV033,positive,2020-05-26,2020-05-26,NEM,Materials,Shares of several precious metals companies are trading lower as equities gain on coroanvirus vaccine optimism and a pickup in US economic activity amid eased lockdown restrictions.,negative,context_error,target shares trading lower,0.9153,positive,0.9153,positive,False,False,False
SV034,positive,2021-02-16,2021-02-16,NEM,Materials,These Gold Stocks Could Serve as an Effective Macro Hedge,positive,correct,effective macro hedge,0.4767,positive,0.4767,positive,True,True,False
SV035,positive,2020-02-29,2020-03-02,O,RealEstate,3 Monthly Dividend Stocks You Won't Want to Miss,positive,correct,monthly dividend stock recommendation,0.0572,positive,0.0572,positive,True,True,False
SV036,positive,2022-05-11,2022-05-11,CCI,RealEstate,Want to Bring Home the Bacon? Invest in REITs,positive,correct,explicit REIT investment recommendation,0.0772,positive,0.0772,positive,True,True,False
SV037,positive,2022-10-07,2022-10-07,AMD,Tech,"Pre-Market Most Active for Oct 7, 2022 : TLRY, TQQQ, SQQQ, CGC, TWTR, LI, AMD, NIO, ATCO, CCL, CS, F",neutral,target_mismatch,activity list; no AMD direction,0.4576,positive,0.4576,positive,False,False,False
SV038,positive,2023-01-12,2023-01-12,INTC,Tech,My Top Tech IPO to Buy in January,neutral,target_mismatch,IPO recommendation; not Intel,0.2023,positive,0.5859,positive,False,False,False
SV039,positive,2021-12-03,2021-12-03,AEP,Utilities,3 Utility Stocks for Safe Income,positive,correct,safe-income utility recommendation,0.4404,positive,0.4404,positive,True,True,False
SV040,positive,2023-10-10,2023-10-10,NEE,Utilities,"Why Clean Energy Stocks Lucid Motors, Plug Power, and NextEra Energy Partners Surged Today",positive,correct,clean-energy stocks surged,0.7096,positive,0.7096,positive,True,True,False
SV041,zero_score,2020-03-12,2020-03-12,T,Comm,RIP to the Longest Bull Market in History (2009-2020),neutral,target_mismatch,broad market regime; not T-specific,0.0,neutral,0.0,neutral,True,True,False
SV042,zero_score,2021-08-18,2021-08-18,TTWO,Comm,"Notable Wednesday Option Activity: CBOE, TTWO, CCL",neutral,correct,option activity without direction,0.0,neutral,0.0,neutral,True,True,False
SV043,zero_score,2020-05-05,2020-05-05,DIS,Consumer,"The Corona Effect, Part '",neutral,ambiguous,truncated and unclear headline,0.0,neutral,0.0,neutral,True,True,False
SV044,zero_score,2020-10-03,2020-10-05,DIS,Consumer,3 Dates for Investors to Circle in October,neutral,correct,event dates only; no direction,0.0,neutral,0.0,neutral,True,True,False
SV045,zero_score,2021-02-02,2021-02-02,COP,Energy,ConocoPhillips Q4 20 Earnings Conference Call At 12:00 PM ET,neutral,correct,conference-call schedule only,0.0,neutral,0.0,neutral,True,True,False
SV046,zero_score,2022-07-13,2022-07-13,CVX,Energy,Warren Buffett Has Bet $279 Billion on These 10 Stocks,positive,finance_lexicon_gap,large Buffett investment endorsement,0.0,neutral,0.25,positive,False,True,True
SV047,zero_score,2022-08-30,2022-08-30,V,Financials,"The Zacks Analyst Blog Highlights Tesla, Exxon Mobil, Marriott International, Humana and Visa",neutral,correct,company list without direction,0.0,neutral,0.0,neutral,True,True,False
SV048,zero_score,2023-07-04,2023-07-05,V,Financials,Here's Why You Should Hold on to Fidelity National (FIS) Stock,neutral,target_mismatch,"headline concerns FIS, not Visa",0.0,neutral,0.0,neutral,True,True,False
SV049,zero_score,2020-04-29,2020-04-29,GILD,Healthcare,NIH Reports Median Time To Recovery Was 11 Days For Patients Treated With Remdesivir Compared With 15 Days For Those Who Received Placebo,positive,context_error,recovery 11 days versus 15,0.0,neutral,0.0,neutral,False,False,False
SV050,zero_score,2022-04-06,2022-04-06,AMGN,Healthcare,"Nasdaq 100 Movers: DDOG, AMGN",neutral,correct,movers list without direction,0.0,neutral,0.0,neutral,True,True,False
SV051,zero_score,2021-02-26,2021-02-26,BA,Industrials,EXCLUSIVE-Biden team considering a halt to 'offensive' arms sales for Saudis,negative,finance_lexicon_gap,possible halt to arms sales,0.0,neutral,-0.3612,negative,False,True,True
SV052,zero_score,2023-12-05,2023-12-05,GE,Industrials,Here's Why Investors Should Invest in ITT Stock Right Now,neutral,target_mismatch,"headline recommends ITT, not GE",0.0,neutral,0.0,neutral,True,True,False
SV053,zero_score,2020-02-19,2020-02-19,SHW,Materials,"Daily Dividend Report: SHW,ADI,WM,LEG,NAVI",neutral,correct,dividend report without direction,0.0,neutral,0.0,neutral,True,True,False
SV054,zero_score,2023-09-05,2023-09-05,NUE,Materials,FOCUS-Inside Cleveland-Cliffs' bid to keep U.S. blast furnaces smelting,neutral,target_mismatch,headline concerns Cleveland-Cliffs,0.0,neutral,0.0,neutral,True,True,False
SV055,zero_score,2020-01-15,2020-01-15,AMT,RealEstate,"Elefante Mark B Buys American Tower Corp, UnitedHealth Group Inc, Becton, Dickinson and Co",positive,finance_lexicon_gap,investor purchase of AMT,0.0,neutral,0.4588,positive,False,True,True
SV056,zero_score,2022-05-30,2022-05-31,PLD,RealEstate,REITs vs. Rental Property: Here's Which Strategy Has Made Me More Money,positive,finance_lexicon_gap,REIT strategy made more money,0.0,neutral,0.0754,positive,False,True,True
SV057,zero_score,2022-05-26,2022-05-26,AMD,Tech,Thursday's ETF with Unusual Volume: CRBN,neutral,target_mismatch,ETF headline; AMD not mentioned,0.0,neutral,0.0,neutral,True,True,False
SV058,zero_score,2023-08-30,2023-08-30,QCOM,Tech,Prediction: AI Will Make or Break Your Portfolio in the Next Decade,neutral,ambiguous,mixed make-or-break framing,0.0,neutral,0.0,neutral,True,True,False
SV059,zero_score,2022-06-15,2022-06-15,DUK,Utilities,FirstEnergy (FE) to Install Charging Stations Under EV Driven,neutral,target_mismatch,"headline concerns FirstEnergy, not DUK",0.0,neutral,0.0,neutral,True,True,False
SV060,zero_score,2022-08-02,2022-08-02,NEE,Utilities,Equitrans to complete WV-VA Mountain Valley natgas pipe in H2 2023,neutral,target_mismatch,"headline concerns Equitrans, not NEE",0.0,neutral,0.0,neutral,True,True,False
